id,title,year,runtime,genres,rating,numVotes
tt0113627,Leaving Las Vegas,1995.0,111.0,"Drama,Romance",7.5,143001
tt0113649,Freedomfighters,1996.0,125.0,"Drama,History,War",6.9,2308
tt0113670,A Little Princess,1995.0,97.0,"Drama,Family,Fantasy",7.6,38603
tt0113674,Live Nude Girls,1995.0,95.0,Comedy,5.2,2130
tt0113677,Living in Oblivion,1995.0,90.0,"Comedy,Drama",7.5,21385
tt0113682,Loch Ness,1996.0,101.0,"Adventure,Drama,Fantasy",5.6,5299
tt0113690,Lord of Illusions,1995.0,109.0,"Horror,Mystery,Thriller",6.1,20735
tt0113691,Losing Isaiah,1995.0,111.0,Drama,6.4,6817
tt0113703,Love Letter,1995.0,117.0,"Drama,Romance",7.9,12779
tt0113718,Lumière and Company,1995.0,88.0,"Documentary,Drama",6.8,3507
tt0113720,All Things Fair,1995.0,130.0,"Drama,Romance,War",6.8,8461
tt0113725,Maborosi,1995.0,110.0,Drama,7.5,8198
tt0113729,Mad Love,1995.0,93.0,"Comedy,Drama,Romance",5.4,7330
tt0113737,Magic in the Water,1995.0,101.0,"Adventure,Family,Fantasy",5.4,2199
tt0113748,Malicious,1995.0,92.0,"Drama,Thriller",5.1,1667
tt0113749,Mallrats,1995.0,94.0,"Comedy,Romance",7.0,133200
tt0113755,Man of the House,1995.0,96.0,"Comedy,Family",5.3,11050
tt0113762,The Mangler,1995.0,106.0,"Drama,Horror,Mystery",4.4,10633
tt0113774,Margaret's Museum,1995.0,114.0,Drama,7.2,1435
tt0113799,Memories,1995.0,113.0,"Animation,Comedy,Drama",7.5,24951
tt0113808,Miami Rhapsody,1995.0,95.0,"Comedy,Romance",5.4,3692
tt0113819,Mighty Aphrodite,1995.0,95.0,"Comedy,Fantasy,Romance",7.0,44514
tt0113820,Mighty Morphin Power Rangers,1995.0,95.0,"Action,Adventure,Family",5.3,31769
tt0113824,Whisper of the Heart,1995.0,111.0,"Animation,Drama,Family",7.8,81014
tt0113828,Les Misérables,1995.0,175.0,"Comedy,Drama,History",7.4,4357
tt0113834,August in the Water,1995.0,117.0,"Drama,Sci-Fi",7.3,1046
tt0113845,Money Train,1995.0,110.0,"Action,Comedy,Crime",5.7,44884
tt0113849,A Month by the Lake,1995.0,92.0,"Comedy,Drama,Romance",6.2,2759
tt0113851,Moonlight and Valentino,1995.0,105.0,"Comedy,Drama,Romance",5.7,4381
tt0113855,Mortal Kombat,1995.0,101.0,"Action,Adventure,Fantasy",5.8,130101
tt0113862,Mr. Holland's Opus,1995.0,144.0,"Drama,Music",7.4,43707
tt0113870,Murder in the First,1995.0,122.0,"Drama,Thriller",7.3,32395
tt0113896,My Family,1995.0,128.0,Drama,7.3,4789
tt0113918,Nobody Will Speak of Us When We're Dead,1995.0,104.0,"Crime,Drama,Thriller",6.8,2320
tt0113922,Like Grains of Sand,1995.0,129.0,"Drama,Romance",7.4,1644
tt0113926,Naked Souls,1996.0,91.0,"Sci-Fi,Thriller",3.3,2028
tt0113932,Napoleon,1995.0,81.0,"Adventure,Family",6.1,2163
tt0113936,National Lampoon's Senior Trip,1995.0,91.0,"Adventure,Comedy",5.6,6688
tt0113939,The Nature of the Beast,1995.0,91.0,"Crime,Horror,Mystery",6.2,3008
tt0113947,Nelly & Monsieur Arnaud,1995.0,106.0,Drama,7.2,5370
tt0113952,The Neon Bible,1995.0,91.0,Drama,6.3,1157
tt0113957,The Net,1995.0,114.0,"Action,Crime,Drama",6.0,78680
tt0113965,Never Talk to Strangers,1995.0,86.0,"Crime,Drama,Mystery",5.2,7787
tt0113967,New Jersey Drive,1995.0,98.0,"Crime,Drama",6.6,3663
tt0113971,Nothing Funny,1995.0,95.0,"Comedy,Drama",7.3,4136
tt0113972,Nick of Time,1995.0,89.0,"Action,Crime,Drama",6.3,46906
tt0113982,Night of the Scarecrow,1995.0,85.0,"Horror,Sci-Fi",5.4,1623
tt0113986,Nine Months,1995.0,103.0,"Comedy,Romance",5.5,39865
